GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
01001,"Autauga, AL",1041239,1080135,1111465,1283522,1297102,1384119
01003,"Baldwin, AL",4470762,4699162,4987728,5488860,6091919,6264024
01005,"Barbour, AL",849519,834951,858421,930345,930410,908655
01007,"Bibb, AL",324835,329110,345033,360869,361489,359238
01009,"Blount, AL",864755,870368,901330,923210,941426,907245
01011,"Bullock, AL",253615,262385,259066,255625,252048,260973
01013,"Butler, AL",461352,477532,498974,522962,515349,511149
01015,"Calhoun, AL",3738470,3845020,3998886,4325523,4567037,4568102
01017,"Chambers, AL",915157,943089,868308,946069,900883,851363
01019,"Cherokee, AL",414610,413841,437043,475086,464946,483942
01021,"Chilton, AL",703975,729784,762299,811847,830594,844397
01023,"Choctaw, AL",681647,598693,563086,651243,721748,770502
01025,"Clarke, AL",742113,745494,750162,818725,856076,902317
01027,"Clay, AL",340212,343192,321596,357427,397128,434277
01029,"Cleburne, AL",337536,277091,272815,285545,299969,279340
01031,"Coffee, AL",1076853,1087466,1091308,1182681,1223597,1192904
01033,"Colbert, AL",2035977,2062586,2242380,2371814,2442691,2454199
01035,"Conecuh, AL",255925,253669,256892,280031,322236,374251
01037,"Coosa, AL",178383,177946,174095,182464,197039,209594
01039,"Covington, AL",1062575,1126529,1079592,1178913,1158243,1154942
01041,"Crenshaw, AL",278685,268249,288893,320655,382066,394720
01043,"Cullman, AL",2165384,2143328,2245619,2451500,2570895,2517707
01045,"Dale, AL",2148161,2211743,2281350,2441189,2703831,2813224
01047,"Dallas, AL",1366766,1321050,1312469,1400056,1465658,1492076
01049,"DeKalb, AL",1746255,1752914,1795262,1951245,1915776,1968955
01051,"Elmore, AL",1199207,1289221,1396324,1547142,1628123,1632406
01053,"Escambia, AL",1186239,1190120,1165339,1254569,1330644,1356735
01055,"Etowah, AL",2852953,2900318,2956540,3124155,3150817,3044837
01057,"Fayette, AL",411172,389403,398461,421216,432125,426009
01059,"Franklin, AL",812419,790041,815848,895465,924286,874256
01061,"Geneva, AL",510356,513412,517576,516134,545572,537729
01063,"Greene, AL",307234,341850,354010,385603,400924,393123
01065,"Hale, AL",291224,307675,345920,361951,377979,399737
01067,"Henry, AL",355122,382618,365288,372434,401753,398821
01069,"Houston, AL",4134294,4333083,4427642,4604760,4661990,4764655
01071,"Jackson, AL",1643648,1690660,1697944,1883689,1955074,1934542
01073,"Jefferson, AL",40672335,41835208,42267815,44237539,44855975,44081412
01075,"Lamar, AL",405570,382767,354819,379569,394601,385224
01077,"Lauderdale, AL",2456762,2414764,2453782,2588964,2659708,2674309
01079,"Lawrence, AL",739238,744353,903949,1173393,803156,725154
01081,"Lee, AL",3256353,3430182,3660500,4089762,4289459,4420730
01083,"Limestone, AL",2406644,2567168,2777043,2910525,3008346,3162947
01085,"Lowndes, AL",393213,337311,402086,449376,431268,471276
01087,"Macon, AL",494988,471368,477723,515588,522748,529690
01089,"Madison, AL",13907861,14406694,15269854,16535213,17514075,18115258
01091,"Marengo, AL",680380,684419,678805,729470,780048,794360
01093,"Marion, AL",807722,817017,805302,905088,982040,992105
01095,"Marshall, AL",2662762,2666239,2751674,2978012,3036821,3001174
01097,"Mobile, AL",15482776,15632957,15904024,16385211,17112202,18246980
01099,"Monroe, AL",866273,838649,845962,942262,986992,1029316
01101,"Montgomery, AL",12032072,12247274,12560800,13012168,13569449,13850995
01103,"Morgan, AL",4528553,4461895,4732500,5183786,5165151,5311264
01105,"Perry, AL",194044,188639,205292,203640,224794,226004
01107,"Pickens, AL",365484,356602,359601,382469,410913,365485
01109,"Pike, AL",859520,903853,953018,1041132,1089533,1113409
01111,"Randolph, AL",406538,431501,428300,482965,482981,471156
01113,"Russell, AL",1216114,1180103,1146377,1237636,1265300,1319450
01115,"St. Clair, AL",1342339,1409279,1456217,1559784,1619401,1604567
01117,"Shelby, AL",5881958,6291913,6730525,7198022,8215239,8647833
01119,"Sumter, AL",331479,328872,332869,339099,359281,350091
01121,"Talladega, AL",2095824,2251291,2488215,2863965,3097436,3182314
01123,"Tallapoosa, AL",1023892,956516,1033267,1165140,1275595,1120618
01125,"Tuscaloosa, AL",7324973,7759675,8332911,8967453,9435300,9526195
01127,"Walker, AL",1796542,1860236,1967358,2060518,2138473,2099985
