GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
01001,"Autauga, AL",1407555,1283751,1316046,1409007,1493906,1726577,1618151,1629762,1765826
01003,"Baldwin, AL",6447685,6230645,5926780,6012889,5930698,5998672,6314704,6455247,6757534
01005,"Barbour, AL",878961,826389,809671,822879,773539,747338,841037,799643,781055
01007,"Bibb, AL",383059,383076,374642,405362,412477,409288,409987,406249,393928
01009,"Blount, AL",899931,911999,898372,898246,854229,929622,930928,962397,1014647
01011,"Bullock, AL",245308,243624,274377,258957,247606,265390,241960,227326,222752
01013,"Butler, AL",543165,529879,495982,577171,601003,588210,594973,597419,620733
01015,"Calhoun, AL",4698563,4766737,4506202,4705487,4460812,4463867,4347654,4186770,4145820
01017,"Chambers, AL",842650,736784,695441,753592,824718,806939,845763,835370,857265
01019,"Cherokee, AL",504792,523109,476809,508052,513632,528911,567565,557528,568884
01021,"Chilton, AL",852938,812166,795685,819486,884721,916574,969262,908802,940046
01023,"Choctaw, AL",651142,625145,419040,444930,486556,591419,596698,588532,555869
01025,"Clarke, AL",888577,853155,835575,801341,812232,857184,887361,850445,837406
01027,"Clay, AL",360427,334083,309592,316061,290649,298475,322500,333599,349612
01029,"Cleburne, AL",257550,273355,261249,271296,243426,269537,286662,307069,324040
01031,"Coffee, AL",1240681,1268952,1300312,1329843,1249698,1274047,1286552,1339640,1415493
01033,"Colbert, AL",2433777,2462655,2191543,2437971,2549543,2546505,2836076,2747801,2681163
01035,"Conecuh, AL",391500,391617,390900,349628,381562,433760,445505,390567,405852
01037,"Coosa, AL",194251,177101,178739,176159,182613,170504,187510,174156,180811
01039,"Covington, AL",1139731,1123455,1118013,1191041,1125515,1191228,1241418,1233749,1235991
01041,"Crenshaw, AL",348797,350986,339854,395673,385087,431940,462657,432654,447831
01043,"Cullman, AL",2389699,2352980,2328355,2401638,2413325,2470440,2667573,2669770,2833666
01045,"Dale, AL",2837398,2962685,3022223,3168619,3040958,2997671,3033182,2856651,2903702
01047,"Dallas, AL",1422596,1353229,1301778,1293420,1291355,1315348,1327933,1317562,1199915
01049,"DeKalb, AL",1920331,1876272,1766602,1817255,1649146,1671490,1894066,1887175,1954786
01051,"Elmore, AL",1702708,1734403,1775155,1847058,1786582,1861561,1881107,1851864,1872305
01053,"Escambia, AL",1406062,1298670,1268412,1234150,1201425,1238727,1262225,1221216,1234272
01055,"Etowah, AL",3029170,3012740,2983136,3011510,3024369,2942621,3009365,3006436,3106556
01057,"Fayette, AL",408281,501106,485161,542463,492389,488067,425242,356861,363444
01059,"Franklin, AL",890480,863868,832496,868215,926064,932606,976777,902564,907227
01061,"Geneva, AL",545212,552038,535407,544743,490891,501814,527864,528585,555010
01063,"Greene, AL",382242,333263,315342,310836,343016,291544,296194,280224,251210
01065,"Hale, AL",342265,332239,322382,332972,318543,313870,307937,297729,306196
01067,"Henry, AL",375152,375846,354610,344387,357276,349612,378289,373258,400112
01069,"Houston, AL",4786349,4626456,4481922,4489380,4515742,4600090,4804937,4906153,4997844
01071,"Jackson, AL",1911850,1832170,1618744,1678141,1624035,1657813,1695275,1675663,1561447
01073,"Jefferson, AL",43978012,44141855,42098379,42377732,43142639,43935855,43372703,43085514,43414741
01075,"Lamar, AL",374890,341689,314816,318523,333974,352003,344309,342240,336740
01077,"Lauderdale, AL",2674025,2650858,2631967,2653846,2658022,2715303,2766711,2674743,2648612
01079,"Lawrence, AL",882620,903470,1009389,995887,915599,874189,784523,680896,567657
01081,"Lee, AL",4568392,4677780,4587437,4748620,5070856,5332385,5401609,5477228,5711665
01083,"Limestone, AL",3110759,3138821,2914945,3158798,3248942,3401507,3481997,3492237,3558450
01085,"Lowndes, AL",487874,435460,447536,516225,525651,477633,472964,468642,427614
01087,"Macon, AL",530066,542946,538681,517254,531645,519324,555310,524659,490979
01089,"Madison, AL",18895104,19622113,20014428,21073373,21365996,21346157,21700524,21764757,22142692
01091,"Marengo, AL",765113,716921,741036,733474,701566,722987,733316,756751,726824
01093,"Marion, AL",948638,866906,847594,843264,818495,872865,870801,864211,888918
01095,"Marshall, AL",3065603,2938736,2820416,2868659,2918278,3015715,3217236,3131880,3319739
01097,"Mobile, AL",18294614,18527861,18420587,18578659,19029979,19005224,19243032,19211576,19295626
01099,"Monroe, AL",948504,886552,837441,811218,738553,704223,717701,693859,709392
01101,"Montgomery, AL",13842318,13702291,13085308,13322352,13352807,13363796,13411377,13293034,13579621
01103,"Morgan, AL",5368859,5169751,4957365,5066568,4894948,4964273,5104478,5271186,5300879
01105,"Perry, AL",211667,223764,216854,235414,217564,222086,233544,207127,202963
01107,"Pickens, AL",371026,340328,375292,369265,323337,374168,433449,439392,441038
01109,"Pike, AL",1146964,1193579,1197233,1277951,1204706,1223629,1224893,1297552,1330609
01111,"Randolph, AL",466775,442056,418029,432307,369310,400667,473631,489469,504952
01113,"Russell, AL",1287835,1283454,1330989,1398204,1376534,1383506,1436547,1456138,1412034
01115,"St. Clair, AL",1625267,1639919,1547644,1643305,1696910,1936918,1932586,1950423,2001119
01117,"Shelby, AL",9477931,9425943,8904856,9069526,9267695,9421342,9900651,10236380,10993628
01119,"Sumter, AL",352263,313511,337447,351361,348579,360823,357435,359396,336502
01121,"Talladega, AL",3110850,2942616,2359236,2649763,2720311,2894622,3035771,3018767,3049889
01123,"Tallapoosa, AL",1119767,1079530,1003795,1143097,1213837,1266399,1233506,1270746,1331887
01125,"Tuscaloosa, AL",10039393,9681949,8863741,9260005,10160113,9687777,9862918,9571653,9414122
01127,"Walker, AL",2045546,2081455,2062704,2143611,2038250,1913880,1905757,1938554,1936643
01129,"Washington, AL",961651,864957,907830,991873,892350,827085,865117,913624,816505
01131,"Wilcox, AL",431849,398420,443812,420620,371942,365734,396901,391003,392463
01133,"Winston, AL",749672,697577,651288,702230,720192,712821,750225,704646,720175
02013,"Aleutians East Borough, AK",224303,238744,236893,147312,135879,134300,154270,153629,224401
02016,"Aleutians West Census Area, AK",435347,399300,373735,355274,387099,407737,433297,440412,441111
02020,"Anchorage Municipality, AK",19574108,20587011,21562294,22405771,22557435,22632371,22200185,22172876,23204212
02050,"Bethel Census Area, AK",557201,551106,577071,619089,672561,683949,703363,703292,702541
02060,"Bristol Bay Borough, AK",143777,129308,128693,130833,127814,122275,133770,135213,126361
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
