"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006
01001,"Autauga, AL",24643,25082,26500,27745,29004,29942
01003,"Baldwin, AL",27222,27614,28365,30671,32510,34976
01005,"Barbour, AL",19971,20121,20763,22652,23736,24647
01007,"Bibb, AL",17780,18515,19519,20831,21273,22655
01009,"Blount, AL",21223,21290,22415,23641,24538,24862
01011,"Bullock, AL",16756,17523,17672,18098,18293,20107
01013,"Butler, AL",21004,21846,22603,23618,24360,25056
01015,"Calhoun, AL",23159,24132,25180,26559,27457,28520
01017,"Chambers, AL",21746,22266,22908,23549,24184,25497
01019,"Cherokee, AL",19665,20062,20992,22336,23128,24083
01021,"Chilton, AL",20952,21297,22044,23266,24447,25933
01023,"Choctaw, AL",19898,20563,21163,21734,21984,23055
01025,"Clarke, AL",19932,20326,21414,22878,23743,24854
01027,"Clay, AL",20264,20787,21744,23864,25802,27210
01029,"Cleburne, AL",20439,20503,21102,23184,24422,24660
01031,"Coffee, AL",25308,26148,27412,29234,29777,30482
01033,"Colbert, AL",21675,22128,23692,25048,26578,28045
01035,"Conecuh, AL",20013,20200,20773,21699,22883,22964
01037,"Coosa, AL",19894,20281,21804,23384,23727,25159
01039,"Covington, AL",21480,22041,23144,24387,24660,25261
01041,"Crenshaw, AL",22083,21434,22846,25317,27092,26452
01043,"Cullman, AL",23485,23520,25074,26717,27831,28161
01045,"Dale, AL",22298,23274,24321,26238,28679,30755
01047,"Dallas, AL",20212,20864,21597,23209,24143,25747
01049,"DeKalb, AL",21122,21351,22278,23841,23711,23825
01051,"Elmore, AL",24025,25138,26479,27892,28967,30446
01053,"Escambia, AL",19277,19016,19904,21196,22729,23618
01055,"Etowah, AL",22283,23019,23836,25093,25933,26705
01057,"Fayette, AL",19520,19184,20067,21334,21958,22771
01059,"Franklin, AL",21244,21273,22007,23853,24784,24915
01061,"Geneva, AL",21919,22291,23124,23829,25175,25076
01063,"Greene, AL",18547,19081,20435,22054,23507,25360
01065,"Hale, AL",17313,18670,20576,22112,23381,25452
01067,"Henry, AL",21369,22435,23139,23834,26123,26665
01069,"Houston, AL",26799,27562,28056,30089,31459,33285
01071,"Jackson, AL",22182,22349,23539,25116,26404,27206
01073,"Jefferson, AL",31458,32541,33758,36147,37664,39969
01075,"Lamar, AL",20132,20354,20841,21207,22400,23115
01077,"Lauderdale, AL",23360,23559,24336,25735,27048,28211
01079,"Lawrence, AL",20669,20339,21834,23506,24023,24936
01081,"Lee, AL",21327,22178,23452,25150,25961,27305
01083,"Limestone, AL",23016,23451,25392,26050,27484,29204
01085,"Lowndes, AL",19244,19174,20507,23275,24246,25428
01087,"Macon, AL",16805,17248,18290,19987,20793,21819
01089,"Madison, AL",30176,30741,31928,33770,35527,37330
01091,"Marengo, AL",21899,22494,22918,25128,26743,28146
01093,"Marion, AL",18873,19434,20008,22016,23559,23722
01095,"Marshall, AL",23335,23365,24482,25717,26537,27013
01097,"Mobile, AL",23115,23560,24173,25198,27115,29713
01099,"Monroe, AL",20292,19981,21150,23157,23941,24576
01101,"Montgomery, AL",28316,29602,30912,32789,33899,35057
01103,"Morgan, AL",25697,25868,26898,28337,29308,30499
01105,"Perry, AL",17466,17680,19175,20624,22493,23104
01107,"Pickens, AL",20332,20600,22073,23755,25791,25331
01109,"Pike, AL",22108,23069,24136,25981,27241,27817
01111,"Randolph, AL",19461,20159,21237,23008,23688,24574
01113,"Russell, AL",21592,22246,23410,23797,24505,25185
01115,"St. Clair, AL",22585,22905,23585,25668,27335,28193
01117,"Shelby, AL",35094,35259,35416,38095,41042,42733
01119,"Sumter, AL",17561,18250,19164,19940,20611,21888
01121,"Talladega, AL",20270,21447,22478,24201,25234,25627
01123,"Tallapoosa, AL",22318,22317,23680,25441,26936,28766
01125,"Tuscaloosa, AL",25353,26045,26855,27909,29495,30589
01127,"Walker, AL",22676,23696,25081,26463,28412,29881
01129,"Washington, AL",19193,19302,20223,22359,23141,24158
01131,"Wilcox, AL",16975,17451,18490,19642,19950,21551
01133,"Winston, AL",21113,21361,21758,23738,25030,25354
02010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02013,"Aleutians East Borough, AK*",33210,28528,30570,31489,33624,35862
02016,"Aleutians West Census Area, AK*",21713,25493,29167,29479,31312,34198
02020,"Anchorage Municipality, AK",37895,39461,40842,42349,44598,46972
02050,"Bethel Census Area, AK*",24338,26020,27511,27591,27917,28101
02060,"Bristol Bay Borough, AK",32298,34130,39216,39933,43972,48175
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA)
02068,"Denali Borough, AK*",39301,39401,40864,42762,46127,46422
