"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
01001,"Autauga, AL",31665,33245,32986,33685,34430,35151,35348,36329,38107
01003,"Baldwin, AL",36215,36220,35363,36794,38032,38284,38401,39568,41470
01005,"Barbour, AL",25475,25822,26217,27746,27992,27779,29450,29470,31062
01007,"Bibb, AL",24054,24950,23779,25072,25879,26917,27117,27860,28760
01009,"Blount, AL",26576,27855,27539,27914,28365,29728,30035,31310,32471
01011,"Bullock, AL",20924,23144,23831,23406,23859,24752,24577,23844,24998
01013,"Butler, AL",26973,27855,27451,28529,28820,29996,31585,33018,34718
01015,"Calhoun, AL",30039,30912,30132,30950,31651,31958,31620,32439,33651
01017,"Chambers, AL",26536,26139,26130,27366,28531,28866,29019,29505,30710
01019,"Cherokee, AL",26300,27643,27312,28171,29054,30242,31444,32953,34683
01021,"Chilton, AL",27239,27534,27157,27546,28762,29366,29559,30141,31682
01023,"Choctaw, AL",23838,24490,25419,27877,29239,31439,33489,34249,34644
01025,"Clarke, AL",26353,26956,27298,28560,29179,29854,31154,32236,33504
01027,"Clay, AL",27554,28342,27719,27820,26330,26910,27290,28452,29726
01029,"Cleburne, AL",25720,27051,26850,28047,28652,30252,31288,32715,34132
01031,"Coffee, AL",32469,34057,34035,35421,36021,35959,36866,37647,39218
01033,"Colbert, AL",29513,30454,30437,31627,32389,32399,32687,33863,34684
01035,"Conecuh, AL",23919,24880,25078,26330,26391,26914,28839,29066,30082
01037,"Coosa, AL",25535,26600,26108,23874,25468,26055,26478,26887,28594
01039,"Covington, AL",26575,27829,28186,29398,29410,29978,30561,31524,32344
01041,"Crenshaw, AL",26736,27975,28105,29909,29147,30423,33451,34398,36772
01043,"Cullman, AL",29386,30182,29909,30526,30924,32110,33668,34040,36248
01045,"Dale, AL",31417,31596,32076,33122,34013,33288,33291,33635,34397
01047,"Dallas, AL",26257,27126,26950,27956,29026,28998,29385,29713,31423
01049,"DeKalb, AL",25350,26235,25922,26872,25831,26848,27847,28763,30389
01051,"Elmore, AL",31771,33393,33493,34222,35133,35695,35271,35793,37346
01053,"Escambia, AL",24512,25364,25390,26813,27522,28693,29094,29472,29894
01055,"Etowah, AL",28302,29158,29085,30191,30632,30987,31168,32263,33728
01057,"Fayette, AL",24321,24981,25227,26218,27081,28482,28977,30175,31917
01059,"Franklin, AL",26745,27363,26799,27909,27787,28119,28437,29431,31070
01061,"Geneva, AL",26598,27593,28192,28833,29309,29156,30298,31117,32358
01063,"Greene, AL",26083,26417,27038,26660,27529,27575,30401,28551,30663
01065,"Hale, AL",26270,27992,28561,28912,30137,30653,31825,31584,33650
01067,"Henry, AL",28539,30453,30277,30866,32424,33221,34928,36481,37925
01069,"Houston, AL",34619,34597,33819,35434,36504,36566,36379,37377,38635
01071,"Jackson, AL",28505,29507,28685,29558,30285,30872,31698,32553,33359
01073,"Jefferson, AL",41095,42239,40264,42087,43235,44940,44206,45628,47836
01075,"Lamar, AL",24465,25229,25168,26640,27935,28974,29020,29730,31011
01077,"Lauderdale, AL",29594,29973,29521,31004,31842,32264,32292,33572,34464
01079,"Lawrence, AL",26647,27677,27258,27698,28294,29180,31095,32043,31757
01081,"Lee, AL",28471,30036,29170,29951,30881,31840,31445,32621,33768
01083,"Limestone, AL",30708,32986,32829,34089,35644,36225,36384,36821,37766
01085,"Lowndes, AL",27766,28634,29498,30797,30668,32835,34643,35719,36331
01087,"Macon, AL",22822,24190,25355,25450,25918,26208,26755,27548,28342
01089,"Madison, AL",39218,41080,40466,41852,43459,43902,43560,44560,46059
01091,"Marengo, AL",28782,29416,29111,30477,31512,32504,33013,34004,35018
01093,"Marion, AL",24892,25201,24988,25641,25946,27256,27801,29189,30406
01095,"Marshall, AL",28111,28731,28984,29709,29649,30790,31077,32094,34051
01097,"Mobile, AL",30479,31505,30602,31865,33670,33281,33676,34399,35768
01099,"Monroe, AL",25639,27251,26316,27298,27394,27549,28724,29935,31534
01101,"Montgomery, AL",35515,35785,35154,35672,37278,37066,37312,38258,39743
01103,"Morgan, AL",31550,32386,31463,32356,32793,33385,33764,35133,35882
01105,"Perry, AL",23586,24583,24566,26122,26853,26886,28124,26851,28752
01107,"Pickens, AL",27088,27809,28326,29054,29403,31076,32106,30777,31447
01109,"Pike, AL",29170,29751,30107,31626,32160,31396,30616,33065,34337
01111,"Randolph, AL",26515,27771,27171,27630,26617,28038,28895,31008,32491
01113,"Russell, AL",25615,26107,26609,28399,29526,29055,28476,28778,30003
01115,"St. Clair, AL",29121,30671,29511,29842,30943,32688,32427,33972,35356
01117,"Shelby, AL",44918,44266,41628,42241,44615,46284,46700,48325,50217
01119,"Sumter, AL",23362,24003,25002,26489,26763,27937,29740,29072,29292
01121,"Talladega, AL",26595,27145,26653,27752,28556,29221,29484,30656,31302
01123,"Tallapoosa, AL",29903,31006,31154,32635,32784,33790,34068,34345,36707
01125,"Tuscaloosa, AL",31778,32446,31653,32281,33034,33553,33250,33988,34462
01127,"Walker, AL",31321,32800,31679,33037,34200,34366,34054,35309,36540
01129,"Washington, AL",26558,28537,28790,29792,30405,31257,32209,33325,34250
01131,"Wilcox, AL",22206,22857,24113,25878,26463,26648,29783,27975,28958
01133,"Winston, AL",26372,27400,27028,27768,27847,28463,28613,30038,31572
02010,"Aleutian Islands Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02013,"Aleutians East Borough, AK*",32467,35128,33844,35451,37000,36488,38592,39946,49228
02016,"Aleutians West Census Area, AK*",36922,40212,37867,40565,46214,50510,50407,53279,53821
02020,"Anchorage Municipality, AK",50680,55273,53792,56506,58689,59281,57420,60218,62671
02050,"Bethel Census Area, AK*",29136,30754,32123,34197,36542,37555,36694,39131,39819
02060,"Bristol Bay Borough, AK",53801,52166,60984,70792,78554,91162,107543,112522,106248
02063,"Chugach Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02066,"Copper River Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02068,"Denali Borough, AK*",49387,54260,56473,62493,70178,75202,77666,86018,87405
02070,"Dillingham Census Area, AK*",34352,37800,39098,43014,46315,47952,48998,53145,53729
02090,"Fairbanks North Star Borough, AK",42197,46238,46181,46814,51460,50889,48788,51670,53021
02100,"Haines Borough, AK*",37007,38122,38094,41660,46202,47562,52479,56662,63915
02105,"Hoonah-Angoon Census Area, AK*",(NA),36708,35643,41787,45049,46513,49582,53082,53748
02110,"Juneau City and Borough, AK",49479,52521,52228,55006,58152,60617,59542,61349,62197
02122,"Kenai Peninsula Borough, AK*",37524,42075,41709,43811,46358,47536,46701,50328,50736
02130,"Ketchikan Gateway Borough, AK*",49098,52259,53208,54710,57133,58417,58383,60758,62908
02150,"Kodiak Island Borough, AK",41228,45078,44387,49651,51931,54475,53214,56727,60530
02158,"Kusilvak Census Area, AK*",20879,23338,23760,25463,26713,27443,26078,29314,28041
02164,"Lake and Peninsula Borough, AK*",34853,39880,38024,41739,45477,50311,50185,52149,54532
02170,"Matanuska-Susitna Borough, AK",36317,40038,39760,40391,43254,44341,44093,46178,47253
02180,"Nome Census Area, AK",32850,37163,36988,40418,41713,42677,42136,46325,47098
02185,"North Slope Borough, AK*",31047,33238,40224,51466,63668,74534,83305,93362,93907
02188,"Northwest Arctic Borough, AK",32064,34658,35923,38948,38192,39060,38098,41459,41454
02195,"Petersburg Borough, AK*",(NA),(NA),44409,49772,53206,54230,60733,61955,63450
02198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),31053,34882,34709,36110,36240,38598,39954
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",27902,32119,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02220,"Sitka City and Borough, AK*",43299,47119,47602,52143,58575,60044,62270,63732,65500
02230,"Skagway Municipality, AK*",(NA),74835,70027,75575,77172,85638,80761,77442,68940
02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",39698,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02240,"Southeast Fairbanks Census Area, AK*",35934,37795,38443,40668,43478,42065,43142,45214,47220
02261,"Valdez-Cordova Census Area, AK*",44090,49645,48132,50333,51751,52928,49699,54153,56231
02275,"Wrangell City and Borough, AK*",(NA),(NA),33608,38983,41743,43662,44262,48876,50666
02280,"Wrangell-Petersburg Census Area, AK*",41707,43662,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02282,"Yakutat City and Borough, AK*",41149,47537,43546,47078,52431,54635,61000,59397,54874
02290,"Yukon-Koyukuk Census Area, AK*",33018,36905,38692,41277,45397,47417,45952,49277,48206
02901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02903,"Angoon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02905,"Bethel Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02910,"Haines Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02921,"Seward Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02922,"Sitka Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
